Altium Designer Pick and Place Locations
C:\Repo\grblhal_2000_PrintNC\Project Outputs for PrintNC_GRBLHAL_Breakout\PrintNC_GRBLHAL_Breakout_UPLOAD_GERBERS_A8\Pick Place\PrintNC_GRBLHAL_Breakout_CAM_OUTPUT_A8.csv

========================================================================================================================
File Design Information:

Date:       27-07-22
Time:       18:01
Revision:   b590559f00567a23eb28d0fb4817a9df8f4250d4
Variant:    FULL_ASSEMBLY
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R79","10KO ±1%","TopLayer","0402_R","3646.653","147.638","90","Chip resistor"
"R78","10KO ±1%","TopLayer","0402_R","3720.472","334.646","90","Chip resistor"
"R92_PH_PR","47KO ±1%","TopLayer","0402_R","2014.764","3882.874","0","Chip resistor"
"R92_LS_B","47KO ±1%","TopLayer","0402_R","3646.654","3415.354","0","Chip resistor"
"P19","Header 5","TopLayer","HDR1X5","515.000","1705.000","0","Header, 5-Pin"
"P18","Header 6 2mm","TopLayer","HDR2X3_-_2mm","615.000","2009.720","90","Header, 6-Pin 2x3, 2mm pitch"
"P17","Header 24","TopLayer","HDR1X24","1215.000","1586.890","0","Header, 24-Pin"
"P16","Header 24","TopLayer","HDR1X24","1215.000","2186.890","0","Header, 24-Pin"
"R77","1.2KO ±1%","TopLayer","0402_R","3077.756","3469.488","180","Chip resistor"
"D23","0603 Yellow","TopLayer","0603_LED_S1","3115.945","3543.307","0","LED"
"U18_PH_PR","EL357N(B)(TA)-G","TopLayer","SOP-4_P2.54","2249.016","3818.898","0","????"
"U18_LS_B","EL357N(B)(TA)-G","TopLayer","SOP-4_P2.54","3326.772","3518.701","270","????"
"U10","ULN2003AFWG","TopLayer","SOIC-16_150mil","3489.173","2810.039","270","?????"
"U2_PH_FD","EL357N(B)(TA)-G","TopLayer","SOP-4_P2.54","3459.646","1894.685","90","????"
"U2_PH_CY","EL357N(B)(TA)-G","TopLayer","SOP-4_P2.54","3444.882","2357.284","90","????"
"U1_LS_Z","EL357N(B)(TA)-G","TopLayer","SOP-4_P2.54","2725.591","3282.480","270","????"
"U1_LS_Y","EL357N(B)(TA)-G","TopLayer","SOP-4_P2.54","2521.850","3282.481","270","????"
"U1_LS_X","EL357N(B)(TA)-G","TopLayer","SOP-4_P2.54","2312.205","3287.401","270","????"
"U1_LS_A","EL357N(B)(TA)-G","TopLayer","SOP-4_P2.54","2932.284","3282.480","270","????"
"R76_PH_PR","4.7KO ±1%","TopLayer","0402_R","1594.488","3882.874","0","Chip resistor"
"R76_LS_B","4.7KO ±1%","TopLayer","0402_R","3491.142","3395.669","0","Chip resistor"
"R75_PH_PR","4.7KO ±1%","TopLayer","0402_R","1751.968","3882.874","0","Chip resistor"
"R75_LS_B","4.7KO ±1%","TopLayer","0402_R","3439.961","3873.032","90","Chip resistor"
"R74_PH_PR","2KO ±1%","TopLayer","0402_R","1899.606","3882.874","180","Chip resistor"
"R74_LS_B","2KO ±1%","TopLayer","0402_R","3439.961","3766.732","90","Chip resistor"
"R73_PH_PR","10KO ±1%","TopLayer","0402_R","2260.827","3690.945","180","Chip resistor"
"R73_LS_B","10KO ±1%","TopLayer","0402_R","3174.213","3469.488","0","Chip resistor"
"R64","510O ±1%","TopLayer","0402_R","3001.969","1924.213","270","Chip resistor"
"R63","100KO ±1%","TopLayer","0402_R","2874.016","1921.260","270","Chip resistor"
"R62","510O ±1%","TopLayer","0402_R","2824.803","2298.228","180","Chip resistor"
"R43","0O ±1%","TopLayer","0402_R","3602.362","2539.370","180","Chip resistor"
"R40","0O ±1%","TopLayer","0402_R","1466.535","3651.575","90","Chip resistor"
"R37","510O ±1%","TopLayer","0402_R","1466.535","3255.905","90","Chip resistor"
"R33","4.7KO ±1%","TopLayer","0402_R","1003.937","3009.843","270","Chip resistor"
"R30","510O ±1%","TopLayer","0402_R","1466.535","3351.378","90","Chip resistor"
"R29","4.7KO ±1%","TopLayer","0402_R","748.031","3282.480","180","Chip resistor"
"R15_PH_FD","1KO ±1%","TopLayer","0402_R","3484.252","1697.835","0","Chip resistor"
"R15_PH_CY","1KO ±1%","TopLayer","0402_R","3469.488","2160.433","0","Chip resistor"
"R14_PH_FD","4.7KO ±1%","TopLayer","0402_R","3410.433","2091.535","0","Chip resistor"
"R14_PH_CY","4.7KO ±1%","TopLayer","0402_R","3395.669","2554.134","0","Chip resistor"
"R11","51KO ±1%","TopLayer","0402_R","3336.614","2074.803","270","Chip resistor"
"R10","2KO ±1%","TopLayer","0402_R","3602.362","1781.496","270","Chip resistor"
"R9","51KO ±1%","TopLayer","0402_R","2563.977","2121.063","270","Chip resistor"
"R8","2KO ±1%","TopLayer","0402_R","2475.394","2229.331","0","Chip resistor"
"R3_LS_Z","4.7KO ±1%","TopLayer","0402_R","2680.118","3474.410","180","Chip resistor"
"R3_LS_Y","4.7KO ±1%","TopLayer","0402_R","2476.377","3474.410","180","Chip resistor"
"R3_LS_X","4.7KO ±1%","TopLayer","0402_R","2266.732","3479.331","180","Chip resistor"
"R3_LS_A","4.7KO ±1%","TopLayer","0402_R","2886.811","3474.410","180","Chip resistor"
"R2_LS_Z","2KO ±1%","TopLayer","0402_R","2765.748","3474.410","0","Chip resistor"
"R2_LS_Y","2KO ±1%","TopLayer","0402_R","2562.008","3474.410","0","Chip resistor"
"R2_LS_X","2KO ±1%","TopLayer","0402_R","2352.362","3479.331","0","Chip resistor"
"R2_LS_A","2KO ±1%","TopLayer","0402_R","2972.441","3474.410","0","Chip resistor"
"R1_LS_A","10KO ±1%","TopLayer","0402_R","2977.362","3075.788","0","Chip resistor"
"Q15_PH_PR","MMBT5551  G1","TopLayer","SOT-23(SOT-23-3)","1958.661","3784.449","180","???"
"Q15_LS_B","MMBT5551  G1","TopLayer","SOT-23(SOT-23-3)","3661.417","3538.386","90","???"
"Q4","MMBT5551  G1","TopLayer","SOT-23(SOT-23-3)","3513.779","1579.724","90","???"
"Q3","MMBT5551  G1","TopLayer","SOT-23(SOT-23-3)","2662.402","2155.512","270","???"
"D22_PH_PR","BAV23A","TopLayer","SOT-23(SOT-23-3)","1555.118","3784.449","180","200V -65?~+150?@(Tj) 350mW 1 Pair Common Anode 1.25V@200mA 50ns 100nA@200V 400mA SOT-23 Switching Diode ROHS"
"D22_LS_B","BAV23A","TopLayer","SOT-23(SOT-23-3)","3503.937","3629.921","180","200V -65?~+150?@(Tj) 350mW 1 Pair Common Anode 1.25V@200mA 50ns 100nA@200V 400mA SOT-23 Switching Diode ROHS"
"D21_PH_PR","BAV23C","TopLayer","SOT-23(SOT-23-3)","1756.890","3784.449","180","250V +150?@(Tj) 350mW Dual Common Cathode 1.25V@200mA 50ns 100nA@250V 225mA SOT-23 Switching Diode ROHS"
"D21_LS_B","BAV23C","TopLayer","SOT-23(SOT-23-3)","3503.937","3489.173","180","250V +150?@(Tj) 350mW Dual Common Cathode 1.25V@200mA 50ns 100nA@250V 225mA SOT-23 Switching Diode ROHS"
"D10","B5819W  SL","TopLayer","SOD-123","1466.535","3494.095","90","Schottky Diode"
"D1_LS_Z","0603 Yellow","TopLayer","0603_LED_S1","2726.390","3543.307","0","LED"
"D1_LS_A","0603 Yellow","TopLayer","0603_LED_S1","2933.083","3543.307","0","LED"
"C35_PH_PR","100nF","TopLayer","0402_C","2359.252","3690.945","180","Chip capacitors"
"C35_LS_B","100nF","TopLayer","0402_C","3213.583","3543.307","270","Chip capacitors"
"C30","1.0uF","TopLayer","0402_C","3336.614","1983.268","90","Chip capacitor"
"C18","10nF","TopLayer","0402_C","2937.992","1924.213","90","Chip capacitors"
"C17","10nF","TopLayer","0402_C","2824.803","2234.252","180","Chip capacitors"
"C12","22uF","TopLayer","0805_C","3445.472","1318.898","180","Chip capacitors"
"C8","100nF","TopLayer","0603_C","3592.520","2376.968","90","Chip capacitors"
"C2_PH_HLT","100nF","TopLayer","0402_C","3400.591","1220.472","270","Chip capacitors"
"C2_PH_FD","100nF","TopLayer","0402_C","3508.858","2091.535","180","Chip capacitors"
"C2_PH_DR","100nF","TopLayer","0402_C","3474.409","1067.914","90","Chip capacitors"
"C2_PH_CY","100nF","TopLayer","0402_C","3494.094","2554.134","180","Chip capacitors"
"C1_LS_Z","100nF","TopLayer","0402_C","2682.087","3075.787","0","Chip capacitors"
"C1_LS_Y","100nF","TopLayer","0402_C","2478.346","3075.788","0","Chip capacitors"
"C1_LS_X","100nF","TopLayer","0402_C","2268.701","3080.709","0","Chip capacitors"
"C1_LS_A","100nF","TopLayer","0402_C","2888.780","3075.788","0","Chip capacitors"
"D2","0603 White","TopLayer","0603_LED_S1","3065.945","3330.905","90","LED"
"J6","","TopLayer","SL_3_50_180G_03","3190.157","1692.913","270","Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"
