Altium Designer Pick and Place Locations
C:\Repo\grblhal_2000_PrintNC\Project Outputs for PrintNC_GRBLHAL_Breakout\PrintNC_GRBLHAL_Breakout_UPLOAD_GERBERS_A5\Pick Place\PrintNC_GRBLHAL_Breakout_CAM_OUTPUT_A5.csv

========================================================================================================================
File Design Information:

Date:       15-11-21
Time:       15:05
Revision:   979536f7417deae5afc7d092258d314b12230ddb
Variant:    FULL_ASSEMBLY
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R45","4.7KO ±1%","TopLayer","0402_R","1545.275","1500.984","180","Chip resistor"
"R43","4.7KO ±1%","TopLayer","0402_R","1678.150","1412.402","0","Chip resistor"
"R36","10KO ±1%","TopLayer","0402_R","762.795","3410.433","180","Chip resistor"
"P19","Header 4","TopLayer","HDR1X4","1555.118","1181.890","270","Header, 4-Pin"
"P18","Header 5","TopLayer","HDR1X5","2514.764","1005.512","90","Header, 5-Pin"
"D22","SMAZ27-13-F","TopLayer","DIOM5226X240N","88.583","1377.953","90","27V ±5% 1W 500nA @ 20.5V SMA(DO-214AC) Zener Diodes RoHS"
"J25","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","688.976","3602.362","0","2 way net solder junction - Normally Open"
"D32","SM712","TopLayer","SOT95P230X117-3N","3813.976","314.961","0","Bidirectional 12V (Max), 7V (Max) 7.5V / 13.3V 10V / 20V 12A(8/20us) SOT-23-3 TVS RoHS"
"R34","120O ±1%","TopLayer","0805_R","3646.653","260.827","90","Chip resistor"
"R27","4.7KO ±1%","TopLayer","0402_R","329.724","3188.977","0","Chip resistor"
"D26","0603 White","TopLayer","0603_LED_S1","339.567","3297.244","90","LED"
"R25","10KO ±1%","TopLayer","0402_R","1003.937","3011.811","90","Chip resistor"
"Q9","AO3400A N","TopLayer","SOT-23-3L","979.331","3213.583","90","MOS(????)"
"D25","B5819W  SL","TopLayer","SOD-123","944.882","3085.630","0","Schottky Diode"
"C44","100nF","TopLayer","0402_C","1586.614","3179.134","270","Chip capacitors"
"C43","100nF","TopLayer","0402_C","3572.835","3001.968","270","Chip capacitors"
"C42","100nF","TopLayer","0402_C","3653.960","1830.944","270","Chip capacitors"
"C41","100nF","TopLayer","0402_C","2406.496","3656.496","270","Chip capacitors"
"C33","100nF","TopLayer","0402_C","1638.779","3179.134","90","Chip capacitors"
"J19","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","1879.803","641.338","0","2 way net solder junction - Normally Open"
"J21","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","1879.803","868.005","0","2 way net solder junction - Normally Open"
"R18","10KO ±1%","TopLayer","0402_R","531.496","3095.472","270","Chip resistor"
"R16","10KO ±1%","TopLayer","0402_R","531.496","3186.024","270","Chip resistor"
"R9","10KO ±1%","TopLayer","0402_R","1023.622","871.063","180","Chip resistor"
"R7","0O ±1%","TopLayer","0402_R","1250.000","762.795","0","Chip resistor"
"R?5","51KO ±1%","TopLayer","0402_R","2677.165","1555.118","90","Chip resistor"
"R?4","51KO ±1%","TopLayer","0402_R","2790.354","2642.716","180","Chip resistor"
"R?3","51KO ±1%","TopLayer","0402_R","2913.386","3395.669","0","Chip resistor"
"R?2","51KO ±1%","TopLayer","0402_R","2603.347","1197.835","90","Chip resistor"
"R?1","51KO ±1%","TopLayer","0402_R","2652.559","2253.937","180","Chip resistor"
"J38","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","3740.157","2874.016","0","2 way net solder junction - Normally Open"
"J37","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","3715.551","3558.071","90","2 way net solder junction - Normally Open"
"J36","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","3740.157","1888.780","90","2 way net solder junction - Normally Open"
"J35","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","3745.079","2524.606","0","2 way net solder junction - Normally Open"
"J34","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","3601.378","851.378","180","2 way net solder junction - Normally Open"
"J33","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","3741.142","851.378","0","2 way net solder junction - Normally Open"
"J32","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","3149.606","3459.646","270","2 way net solder junction - Normally Open"
"J31","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","2883.858","3459.646","270","2 way net solder junction - Normally Open"
"J30","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","2135.827","3425.197","0","2 way net solder junction - Normally Open"
"J29","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","2012.795","3489.173","180","2 way net solder junction - Normally Open"
"R78","10KO ±1%","TopLayer","0402_R","206.693","501.968","270","Chip resistor"
"J28","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","369.094","994.095","0","2 way net solder junction - Normally Open"
"FUSE1","24V 1A","TopLayer","1206_C","73.819","1087.598","90","24V 1A 0.1s 1206 PTC Resettable Fuses RoHS"
"D24","0805 Green","TopLayer","0805_LED_S1","93.504","497.047","180","LED"
"C40","22uF","TopLayer","0805_C","1835.630","3435.039","180","Chip capacitors"
"C15","22uF","TopLayer","0805_C","1294.291","1293.701","270","Chip capacitors"
"D35","B5819W  SL","TopLayer","SOD-123","1471.457","3499.016","270","Schottky Diode"
"D34","B5819W  SL","TopLayer","SOD-123","728.346","3592.520","180","Schottky Diode"
"Logo1","Expatria Technologies","BottomOverlay","Expatria-Logo","1303.250","1894.222","180",""
"P17","Header 5","TopLayer","HDR1X5","2239.173","2663.976","270","Header, 5-Pin"
"D33","B5819W  SL","TopLayer","SOD-123","3307.087","880.905","270","??????"
"A1","ADA3708","BottomLayer","ADA3708_RPI-ZERO","3429.331","2220.669","270","Raspberry Pi Zero WH _Zero W with Headers_"
"R151","2KO ±1%","TopLayer","0402_R","1158.464","871.063","180","Chip resistor"
"Q32","MMBT5551  G1","TopLayer","SOT-23(SOT-23-3)","2573.819","1530.512","90","???"
"Q31","MMBT5551  G1","TopLayer","SOT-23(SOT-23-3)","2790.354","2770.669","90","???"
"Q30","MMBT5551  G1","TopLayer","SOT-23(SOT-23-3)","2805.118","3400.591","90","???"
"Q29","MMBT5551  G1","TopLayer","SOT-23(SOT-23-3)","2573.819","1358.268","270","???"
"Q28","MMBT5551  G1","TopLayer","SOT-23(SOT-23-3)","2687.008","2145.669","270","???"
"J24","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","1107.284","875.984","270","2 way net solder junction - Normally Open"
"J17","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","1397.638","2554.134","90","2 way net solder junction - Normally Open"
"U25","EL357N(B)(TA)-G","TopLayer","SOP-4_P2.54","1240.158","3347.421","180","Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"
"U1","EL357N(B)(TA)-G","TopLayer","SOP-4_P2.54","1609.252","3523.622","90","????"
"R8","10KO ±1%","TopLayer","0402_R","2297.716","3581.890","0","Chip resistor"
"R6","10KO ±1%","TopLayer","0402_R","2297.716","3404.724","0","Chip resistor"
"R5","10KO ±1%","TopLayer","0402_R","2110.709","3581.890","0","Chip resistor"
"R4","10KO ±1%","TopLayer","0402_R","2204.213","3581.890","0","Chip resistor"
"R3","4.7KO ±1%","TopLayer","0402_R","2110.708","3640.945","180","Chip resistor"
"R2","2KO ±1%","TopLayer","0402_R","2204.213","3640.945","0","Chip resistor"
"Q1","MMBT5551  G1","TopLayer","SOT-23(SOT-23-3)","1835.118","3572.047","270","???"
"J2","WJ15EDGVC-3.5-3P","TopLayer","SL_3_50_180G_03","2209.961","3863.189","180","Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"
"J1","WJ15EDGVC-3.5-3P","TopLayer","SL_3_50_180G_03","1732.598","3863.189","180","Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"
"D3","PSD03C-LF-T7","TopLayer","SOD-323","2268.189","3468.701","0","Bidirectional - 7V 4V 3.3V SOD-323 TVS ROHS"
"D2","PSD03C-LF-T7","TopLayer","SOD-323","1953.228","3527.756","90","Bidirectional - 7V 4V 3.3V SOD-323 TVS ROHS"
"D1","0603 Yellow","TopLayer","0603_LED_S1","1981.968","3640.945","180","LED"
"R14","10KO ±1%","TopLayer","0402_R","3080.709","3582.677","0","Chip resistor"
"J20","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","1879.803","754.672","0","2 way net solder junction - Normally Open"
"J18","2 way net solder junction - Normally Open","BottomLayer","2waySolder_NO","1879.803","981.338","0","2 way net solder junction - Normally Open"
"P2","C9135","TopLayer","61200821621","2528.740","2654.291","270","Male Box Header WR-BHD, THT, Vertical, pitch 2.54 mm, 8 pins"
"U18","24LC16BT-I/SN","TopLayer","SOIC-SN8_L","1136.811","1343.504","90","IC EEPROM 16KBIT I2C 8SOIC"
"C26","1.0uF","TopLayer","0402_C","989.173","1441.929","270","Chip capacitor"
"R64","2KO ±1%","TopLayer","0402_R","2920.000","1805.000","270","Chip resistor"
"R63","2KO ±1%","TopLayer","0402_R","2933.071","2829.724","180","Chip resistor"
"R62","2KO ±1%","TopLayer","0402_R","2920.000","3245.000","270","Chip resistor"
"R61","2KO ±1%","TopLayer","0402_R","2920.000","1325.000","90","Chip resistor"
"R60","2KO ±1%","TopLayer","0402_R","2920.000","2286.732","90","Chip resistor"
"D21","0603 Red","TopLayer","0603_LED_S1","2790.354","1569.882","270","LED"
"D20","0603 Yellow","TopLayer","0603_LED_S1","2790.354","2543.504","270","LED"
"D19","0603 Green","TopLayer","0603_LED_S1","2795.000","3235.000","270","LED"
"D18","0603 Yellow","TopLayer","0603_LED_S1","2770.669","1003.937","270","LED"
"D17","0603 White","TopLayer","0603_LED_S1","2790.354","2135.827","270","LED"
"L2","0O ±1%","TopLayer","0402_R","784.449","752.953","180","Chip resistor"
